railway,lon,lat
Vandenberg,-120.62390070619458,34.63618046863559
Titan3,-80.58294993486662,28.583195030951927
Titan2,-80.58387618835482,28.583695807306057
Titan4,-80.58211812291043,28.58279632195746
Titan1,-80.59095336646388,28.58384457323551
