name,lon,lat
Titusville,-80.80832449321994,28.61274103604113
Merritt Island,-80.73153485583968,28.356474615667466
Cape Canaveral,-80.69801744744082,28.362333961141445
Melbourne,-80.60710487526241,28.080341754507316
Palm Shores,-80.65583726482244,28.187509101367354
Lompoc,-120.45882341330213,34.6423638676867
Orcutt,-120.43633221844632,34.867085120846184
Santa Maria,-120.43439067662864,34.96084912170414
Guadalupe,-120.57218830798689,34.97132441416504
